,Ant,Larva,Food
1,50,0,8
2,50,0,47
3,50,1,69
4,50,12,69
5,47,27,66
6,44,34,75
7,43,45,76
8,39,59,70
9,46,56,71
10,62,53,65
11,69,53,81
12,75,57,89
13,87,59,93
14,93,68,92
15,101,77,75
16,107,92,68
17,118,102,56
18,128,117,51
19,143,127,54
20,159,131,50
21,177,142,39
22,192,146,47
23,209,153,42
24,232,162,62
25,251,184,54
26,276,204,13
27,290,229,22
28,309,246,4
29,330,265,7
30,358,275,9
31,391,275,5
32,420,269,6
33,453,282,7
34,485,295,5
35,506,310,4
36,529,337,1
37,538,341,0
38,533,343,6
39,537,338,3
40,546,326,1
41,559,308,1
42,556,306,2
43,563,303,2
44,562,300,3
45,563,294,2
46,564,286,2
47,571,292,8
48,579,288,1
49,566,284,4
50,559,291,1
51,547,290,2
52,537,287,8
53,543,296,3
54,540,302,1
55,546,303,0
56,538,307,1
57,543,302,2
58,543,295,9
59,544,302,2
60,556,285,0
61,535,296,3
62,534,299,3
63,536,301,4
64,549,300,4
65,550,318,1
66,554,321,4
67,546,325,3
68,550,323,3
69,555,318,7
70,563,310,1
71,579,306,0
72,573,304,3
73,571,300,2
74,579,301,4
75,578,291,2
76,587,281,2
77,588,281,9
78,593,294,11
79,599,280,1
80,596,295,7
81,607,305,1
82,617,283,9
83,632,281,1
84,650,293,3
85,656,295,0
86,663,289,0
87,650,305,2
88,643,302,1
89,648,297,0
90,659,295,10
91,666,291,1
92,658,292,0
93,666,291,13
94,661,288,6
95,656,284,2
96,653,285,6
97,663,288,1
98,656,304,0
99,651,299,1
100,633,297,3
101,616,284,1
102,630,269,5
103,640,262,6
104,623,259,0
105,613,247,0
106,598,252,10
107,597,258,3
108,594,249,0
109,611,239,15
110,618,262,4
111,617,259,4
112,615,267,3
113,614,276,4
114,616,288,1
115,626,266,2
116,618,278,3
117,610,279,2
118,595,279,2
119,582,280,2
120,576,296,1
121,570,275,1
122,584,265,4
123,596,265,0
124,610,252,0
