,Ant,Larva,Food
1,50,0,0
2,50,0,0
3,50,0,5
4,50,0,30
5,50,1,63
6,50,8,66
7,45,17,57
8,44,21,68
9,41,25,69
10,33,30,69
11,30,28,72
12,37,20,102
13,43,18,114
14,46,19,107
15,48,17,121
16,51,18,111
17,55,23,136
18,56,27,160
19,53,31,164
20,55,42,156
21,55,44,152
22,56,50,141
23,57,51,168
24,63,46,197
25,69,43,205
26,81,41,221
27,90,39,221
28,101,42,227
29,101,49,233
30,100,53,240
31,105,61,268
32,103,63,282
33,111,65,313
34,114,66,318
35,119,64,333
36,126,62,337
37,136,60,349
38,142,65,332
39,146,70,358
40,152,71,360
41,157,70,372
42,166,78,361
43,168,73,370
44,172,75,417
45,178,77,444
46,174,80,468
47,181,76,472
48,189,83,471
49,196,89,496
50,204,94,499
51,210,97,498
52,218,105,498
53,217,103,518
54,224,108,522
55,232,106,505
56,240,105,538
57,249,110,571
58,254,112,615
59,258,97,613
60,278,94,651
61,286,87,679
62,289,91,673
63,297,87,700
64,305,97,763
65,304,100,796
66,302,111,795
67,297,108,798
68,306,117,792
69,292,123,762
70,302,122,742
71,305,119,794
72,302,107,821
73,311,104,802
74,328,94,806
75,338,107,810
76,341,112,864
77,346,119,902
78,348,121,919
79,356,129,901
80,353,129,981
81,358,124,980
82,365,123,997
83,362,126,1039
84,372,121,1013
85,377,118,1024
86,381,119,1069
87,378,120,1086
88,379,114,1087
89,389,121,1135
90,381,122,1174
91,383,120,1231
92,392,124,1234
93,389,131,1279
94,394,127,1260
95,404,122,1254
96,411,128,1293
97,406,126,1330
98,411,114,1365
99,408,106,1392
100,409,102,1410
101,406,95,1467
102,412,92,1519
103,395,94,1567
104,386,100,1621
105,382,98,1678
106,379,87,1751
107,382,81,1817
108,383,71,1828
109,382,67,1846
110,375,67,1882
111,369,77,1919
112,363,77,1948
113,348,78,2002
114,332,79,2085
115,325,77,2102
116,320,67,2179
117,331,66,2223
118,325,60,2295
119,315,54,2311
120,321,52,2401
121,322,64,2445
122,306,63,2515
123,299,76,2570
124,282,79,2631
125,282,83,2684
126,273,76,2713
127,276,80,2756
128,269,73,2867
129,275,67,2902
130,280,67,2958
131,273,62,3006
132,275,61,3061
133,272,55,3074
134,277,60,3114
135,269,58,3135
136,266,63,3173
137,252,65,3217
138,255,65,3249
139,247,63,3284
140,242,58,3325
141,240,51,3380
142,241,50,3415
143,244,49,3471
144,239,47,3514
145,239,49,3557
146,228,48,3581
147,224,45,3592
148,228,49,3641
149,220,48,3660
150,218,51,3740
151,214,52,3815
152,209,49,3906
153,204,43,3958
154,206,47,3978
155,199,44,4021
156,195,41,4098
157,197,37,4130
158,194,35,4213
159,189,30,4254
160,194,28,4311
161,189,29,4390
162,186,32,4420
163,176,37,4427
164,170,39,4471
165,169,39,4564
166,167,39,4640
167,161,31,4678
168,158,30,4722
169,156,25,4733
170,159,28,4765
171,155,28,4774
172,156,32,4818
173,146,30,4881
174,142,26,4907
175,143,22,4941
176,148,26,4960
177,141,23,5009
178,140,20,5023
179,136,29,5046
180,128,32,5076
181,118,29,5106
182,119,27,5170
183,111,28,5225
184,112,23,5258
185,115,20,5295
186,113,19,5370
187,107,24,5399
188,102,21,5457
189,100,22,5498
190,99,27,5558
191,93,24,5599
192,90,22,5634
193,89,22,5684
194,89,25,5718
195,92,21,5760
196,92,25,5792
197,90,22,5822
198,85,24,5860
199,82,21,5883
200,83,20,5907
201,85,17,5956
202,87,18,6005
203,85,15,6039
204,87,12,6089
205,89,11,6157
206,88,12,6267
207,87,13,6326
208,78,11,6384
209,73,15,6425
210,72,20,6461
211,65,18,6494
212,63,20,6533
213,62,24,6574
214,57,24,6614
215,55,18,6656
216,62,18,6660
217,63,17,6672
218,65,17,6700
219,68,16,6725
220,71,20,6729
221,68,19,6773
222,66,21,6822
223,67,18,6848
224,67,17,6857
225,70,14,6864
226,71,16,6894
227,68,10,6956
228,69,14,6995
229,68,14,7035
230,69,15,7076
231,68,13,7110
232,68,18,7152
233,65,16,7203
234,62,16,7267
235,58,17,7315
236,59,16,7356
237,59,17,7377
238,62,22,7397
239,61,23,7408
240,61,19,7441
241,64,25,7493
242,64,22,7558
243,66,17,7573
244,68,16,7594
245,68,17,7648
246,65,16,7693
247,69,15,7708
248,68,13,7720
249,68,16,7743
250,68,17,7772
251,66,13,7802
252,65,11,7863
253,59,12,7935
254,53,9,7951
255,51,6,8001
256,51,8,8012
257,52,9,8035
258,51,8,8065
259,53,11,8101
260,47,11,8112
261,47,9,8130
262,46,10,8189
263,45,11,8210
264,43,13,8225
265,43,13,8263
266,44,17,8283
267,43,16,8295
268,40,16,8306
