Ants,Larva,Food
50.0,0.0,0.0
50.0,0.0,5.5
50.0,0.0,39.0
50.0,0.0,73.3
50.0,2.0,108.5
50.0,5.8,124.3
45.8,15.5,135.7
43.1,24.4,151.2
40.2,28.5,167.6
38.8,35.1,180.6
39.9,37.4,191.1
46.6,32.9,196.5
52.9,29.3,202.1
54.4,29.6,223.3
59.6,26.9,233.2
63.5,26.1,241.0
67.0,27.7,252.9
69.0,30.8,258.7
69.5,34.8,275.2
70.8,38.4,293.4
72.5,42.3,316.5
76.0,45.2,337.9
80.8,45.8,355.7
86.1,46.9,370.1
90.5,48.4,393.8
95.2,48.3,421.8
101.4,48.5,439.1
105.2,51.0,451.0
108.3,51.8,471.1
113.5,52.8,481.6
118.1,56.3,502.0
121.5,58.4,515.6
127.9,61.5,525.6
132.1,64.8,541.1
137.7,69.1,552.5
142.9,71.9,563.9
149.2,75.1,581.7
155.7,78.2,599.7
162.8,80.7,612.7
169.6,83.7,624.5
177.7,84.1,632.6
183.0,87.3,642.5
190.0,87.0,663.5
197.4,88.8,673.8
206.3,89.5,671.7
212.2,92.0,685.3
220.9,95.7,694.1
227.5,100.5,709.1
234.4,106.5,717.1
243.0,108.3,735.8
251.4,112.9,753.7
260.6,117.3,760.5
269.3,118.9,779.3
279.4,120.7,786.4
286.4,125.6,797.8
294.7,128.2,807.6
305.5,131.6,810.3
313.6,136.3,814.6
326.0,139.7,806.6
333.9,145.4,799.9
342.0,149.0,800.5
352.1,152.4,800.3
362.7,156.6,799.2
373.5,162.3,783.4
384.4,163.4,774.4
396.6,168.1,764.4
407.3,174.9,745.6
416.4,178.6,733.0
431.9,182.1,712.1
444.2,189.5,701.5
456.4,196.3,692.4
470.5,197.3,682.4
482.0,202.9,663.7
499.2,205.7,637.9
511.0,207.3,619.1
526.0,210.0,596.7
538.8,215.3,577.3
553.0,220.3,553.5
563.3,226.4,524.7
574.5,233.2,502.1
586.9,237.3,479.1
599.4,240.9,453.3
606.7,242.1,417.4
619.8,245.9,365.3
627.4,241.6,329.8
632.2,239.7,297.0
634.7,238.7,264.2
636.2,232.7,250.2
636.2,227.6,231.4
635.2,236.0,218.7
642.8,237.0,188.4
640.4,236.9,184.2
632.0,241.1,175.4
636.6,247.1,172.9
639.5,238.5,154.4
633.7,236.8,136.4
614.9,222.2,134.6
600.5,213.1,133.6
581.7,191.8,130.5
563.8,180.8,126.5
548.9,170.9,124.3
542.3,177.1,121.8
534.6,177.7,123.8
526.7,190.0,118.7
520.0,196.6,113.2
508.4,198.9,111.8
511.1,199.9,105.2
508.3,202.3,101.1
507.6,195.5,89.2
504.4,189.7,85.5
504.7,191.4,76.5
503.1,186.0,68.2
506.4,182.8,63.2
504.9,185.1,52.7
505.5,190.9,40.8
502.0,189.6,28.6
502.8,193.0,20.0
499.6,191.3,14.9
495.4,185.3,11.0
494.4,176.1,20.0
489.4,172.5,14.4
488.9,167.2,6.0
479.9,164.8,10.9
474.1,166.3,11.7
468.6,168.4,16.6
468.8,171.6,18.7
464.1,172.8,18.4
455.4,172.7,16.1
452.4,172.2,9.9
449.9,170.5,12.4
449.5,165.4,17.7
448.1,160.2,31.6
447.1,161.0,36.8
449.7,166.6,29.2
453.7,168.2,26.8
451.7,173.5,27.5
450.4,175.4,28.7
449.8,170.4,32.3
452.6,163.9,24.9
454.8,161.4,17.1
459.4,159.6,22.2
461.4,160.5,30.1
458.6,166.3,47.1
464.9,169.9,41.2
463.5,171.0,56.1
467.6,175.0,48.0
472.8,178.4,43.9
475.5,177.9,50.8
478.1,174.3,40.4
487.0,178.3,37.2
495.4,178.6,43.8
502.1,177.7,32.6
502.2,182.1,34.1
501.5,187.2,35.3
501.5,184.4,40.0
500.7,179.0,39.6
504.3,180.9,35.5
504.3,180.8,31.9
505.4,176.2,25.1
499.0,175.2,24.4
495.8,175.7,29.1
502.6,177.6,16.7
501.2,173.7,28.5
501.1,179.3,22.8
495.0,182.4,27.2
493.6,188.0,35.2
501.1,189.7,25.4
501.3,195.2,19.8
503.2,192.4,10.8
504.7,190.2,20.5
505.6,190.6,27.0
511.8,183.8,20.3
512.6,180.9,21.5
509.7,180.7,14.4
501.7,173.3,22.7
499.2,167.0,25.4
494.2,162.5,28.4
489.4,163.3,26.2
489.7,162.4,26.5
482.5,173.3,32.5
477.6,178.0,22.1
476.6,181.7,20.1
472.8,178.0,16.4
469.3,171.1,20.0
472.3,171.1,23.9
474.7,166.8,32.2
479.4,169.0,31.1
480.8,174.6,29.1
477.9,179.8,32.3
485.0,182.6,28.5
488.1,189.9,20.5
492.4,186.9,19.2
487.7,184.4,17.9
488.5,182.7,19.4
482.1,174.3,20.5
478.7,168.1,19.9
475.8,171.1,23.9
481.7,174.9,26.0
481.0,182.0,22.3
475.8,191.1,22.8
474.2,194.0,20.1
472.1,190.5,16.3
464.9,181.2,19.3
472.6,176.7,21.1
477.1,174.7,19.3
477.2,174.9,24.6
476.3,177.2,19.7
477.7,181.3,30.8
481.3,185.3,21.7
479.6,178.8,23.4
478.2,179.7,22.0
478.4,175.2,34.5
476.9,175.7,38.6
480.9,173.2,49.7
480.7,176.9,65.3
482.3,179.7,71.2
484.2,185.5,66.2
486.1,191.4,64.6
492.2,189.9,64.0
492.2,191.3,59.2
496.6,191.2,59.6
501.7,187.5,59.3
504.5,185.2,57.6
507.1,186.1,59.6
508.6,186.6,54.1
513.8,192.1,46.6
513.5,188.9,38.5
511.1,187.3,37.9
515.8,184.3,44.5
508.3,182.2,43.1
513.5,175.8,47.3
505.5,178.2,43.0
503.9,183.3,42.8
501.7,183.4,37.5
495.7,185.8,31.8
493.3,182.5,35.1
491.3,186.3,28.6
496.9,182.5,25.0
493.2,184.6,28.7
491.8,182.1,24.5
491.8,189.2,21.1
497.3,189.5,23.5
498.0,192.6,26.1
499.7,192.1,21.1
496.7,193.6,15.1
492.2,188.4,12.2
498.0,187.0,10.6
501.2,185.7,20.0
502.7,189.7,15.2
500.8,186.3,25.6
495.3,190.3,25.5
487.7,183.0,32.4
482.0,180.8,34.9
477.0,174.1,32.3
473.3,176.1,27.1
471.4,175.6,26.1
470.6,182.4,35.8
473.5,191.5,28.0
477.1,200.6,32.4
479.7,207.1,18.7
476.6,207.5,9.9
481.4,211.5,11.4
478.2,205.4,8.3
481.8,197.6,7.3
483.3,188.2,7.5
477.6,183.2,8.5
478.4,179.0,9.3
475.0,175.2,14.1
469.9,176.7,3.8
460.9,173.2,8.1
455.9,173.3,8.9
451.2,169.7,16.0
456.0,174.3,11.2
460.2,175.7,13.5
457.0,188.4,13.4
453.7,196.1,18.2
451.2,197.9,20.0
446.4,191.9,21.0
446.7,190.7,19.2
446.2,179.1,11.0
446.5,171.9,9.1
443.3,171.6,5.9
434.4,170.7,7.4
432.2,163.2,9.8
426.7,167.2,31.3
428.1,174.6,23.6
428.9,173.6,30.6
431.3,180.6,36.1
426.5,186.1,32.6
432.2,190.2,29.5
438.9,187.2,23.0
438.2,189.6,16.3
435.4,180.6,14.2
437.4,183.6,17.1
442.0,180.4,16.8
439.0,179.7,23.3
440.0,177.7,18.9
430.2,181.2,28.5
433.3,175.7,19.4
430.9,172.2,25.1
430.0,176.9,25.9
431.2,180.8,22.9
433.8,187.6,27.1
434.9,189.5,26.2
433.3,192.6,20.3
433.3,187.8,13.7
437.4,182.3,16.1
439.1,179.9,19.9
436.2,179.9,22.0
435.7,183.4,19.7
431.8,180.6,19.0
434.0,184.9,19.9
432.8,182.7,19.4
434.5,184.0,23.2
434.1,180.3,21.4
427.4,182.1,23.5
428.6,182.4,17.5
424.7,182.6,13.6
426.7,176.9,14.7
431.7,182.5,11.2
423.6,177.0,3.4
421.8,168.6,3.7
416.7,164.2,10.8
411.7,162.8,15.7
412.1,153.0,16.4
407.6,159.7,18.6
403.3,166.1,24.5
402.7,172.4,16.0
404.0,180.5,19.5
404.6,186.7,19.2
412.4,191.4,19.2
417.6,195.4,18.5
424.4,200.2,17.5
424.0,193.7,16.0
431.4,194.2,25.0
435.4,192.0,12.4
437.1,184.3,18.0
438.4,180.7,15.4
440.3,188.8,22.2
442.4,193.0,19.7
443.0,195.0,23.5
442.0,200.6,26.0
443.6,204.3,22.4
444.7,201.4,20.6
449.7,202.7,8.7
449.8,200.6,6.9
448.8,201.4,8.7
443.0,195.4,10.5
438.7,191.4,16.9
429.4,180.8,11.3
427.5,173.6,8.5
418.1,160.9,13.4
411.5,160.9,13.8
410.8,166.2,10.8
403.5,167.3,11.4
396.4,171.6,13.1
389.3,181.8,19.6
392.0,190.6,14.4
393.4,186.0,17.1
388.1,185.4,19.4
393.4,184.8,18.8
392.7,180.5,14.3
389.9,169.7,18.7
390.2,165.0,22.0
392.2,174.0,23.0
396.8,177.7,32.5
395.4,180.7,32.7
392.2,184.7,23.6
394.5,192.4,33.8
400.0,189.7,37.2
404.7,182.9,24.0
410.5,185.4,21.3
412.3,186.5,28.5
417.3,184.0,19.3
414.9,180.1,22.1
413.2,190.9,24.8
417.9,192.6,23.5
419.9,197.6,25.6
419.4,196.3,24.5
413.6,200.4,19.2
410.2,190.4,9.4
408.1,187.5,15.4
407.3,185.3,14.4
405.8,185.1,12.8
409.1,191.0,10.9
408.9,197.8,15.5
410.3,199.9,8.9
406.3,195.1,7.1
404.0,198.7,6.3
405.7,194.2,15.4
408.6,193.9,9.9
407.6,186.3,7.6
403.1,191.9,10.0
399.1,193.8,12.8
398.0,193.4,6.4
395.5,187.6,7.0
392.8,189.3,5.4
388.9,183.1,11.2
389.6,179.9,6.8
389.5,180.1,9.3
389.0,181.2,5.2
389.2,181.4,9.5
388.1,186.3,10.3
378.7,175.7,13.0
374.1,165.4,14.5
372.9,164.9,13.5
375.3,170.0,14.3
377.6,166.2,21.7
371.4,183.2,18.6
367.2,194.9,9.8
367.5,198.9,9.1
370.9,196.1,5.9
365.7,193.1,1.6
366.5,183.3,4.6
365.5,177.9,7.6
369.8,178.4,2.6
374.7,178.6,10.4
371.4,182.7,12.9
374.6,190.6,14.0
372.3,196.8,6.8
366.6,194.2,7.3
371.0,194.1,5.6
369.6,193.6,3.8
372.4,191.6,6.5
374.0,187.1,6.0
374.1,193.9,5.3
372.3,188.4,3.5
367.1,189.6,5.4
359.1,184.2,12.5
353.0,180.4,7.6
356.8,174.5,5.9
355.8,182.5,4.1
348.0,182.3,6.3
349.0,190.0,9.1
346.2,195.8,10.6
349.2,202.4,8.9
346.8,192.1,2.2
342.6,190.2,4.5
342.5,184.1,7.9
340.5,179.3,9.8
341.4,171.4,11.0
343.5,178.0,7.4
339.9,185.5,7.5
338.4,187.0,8.2
336.0,185.0,10.5
330.9,185.1,8.8
330.2,180.5,7.8
329.7,180.0,7.0
327.9,175.0,9.9
327.4,183.6,5.4
325.1,184.8,6.6
324.6,184.6,8.4
324.9,187.3,1.5
323.6,187.8,6.1
322.5,177.9,4.7
319.0,174.1,2.8
315.5,171.5,3.3
315.1,171.2,4.6
316.3,176.2,12.9
312.3,177.5,11.4
311.1,180.8,12.9
308.8,180.9,10.7
311.8,179.9,2.8
308.0,171.6,2.3
302.6,173.4,5.7
303.2,175.4,7.5
297.8,179.5,4.5
296.3,170.0,4.9
294.8,172.6,8.2
289.5,169.5,6.0
290.6,163.5,2.9
288.9,159.1,4.8
286.1,158.0,7.8
286.5,160.3,6.3
290.0,168.9,13.4
294.4,181.1,8.3
299.0,187.7,5.8
300.5,195.9,12.4
308.8,198.3,12.1
309.0,196.7,2.3
303.4,175.9,5.3
302.1,165.8,4.8
303.2,164.8,6.7
306.4,170.2,2.5
306.1,165.4,7.5
304.7,182.9,10.5
301.3,197.9,11.9
303.8,195.1,22.7
309.5,190.2,26.2
312.0,198.3,22.7
317.8,199.8,23.0
321.3,198.6,25.4
323.6,205.5,25.9
328.6,208.5,24.0
336.7,209.2,15.6
338.0,206.3,17.0
342.9,208.1,13.4
344.7,205.7,11.7
348.0,205.5,7.6
352.3,206.2,8.5
352.2,204.1,6.9
357.2,209.8,6.4
356.4,208.7,13.6
359.0,208.5,8.5
357.3,206.1,16.7
356.2,208.0,15.2
356.8,195.2,17.6
357.0,202.3,9.2
358.4,200.8,3.4
357.2,200.8,7.6
358.9,205.9,8.1
356.2,210.6,6.3
354.0,207.8,2.5
351.7,205.8,9.3
356.6,213.3,14.8
361.3,212.3,4.0
364.7,219.4,5.5
361.1,220.0,5.4
358.3,223.9,6.0
356.1,208.8,5.3
352.0,202.6,0.5
348.0,189.2,4.0
342.9,187.1,1.2
339.0,186.4,3.7
334.9,193.1,12.1
336.6,200.8,7.3
335.8,213.4,9.0
337.8,219.0,5.1
336.5,224.6,3.2
329.3,217.7,3.8
333.6,212.2,7.3
336.5,206.1,7.9
337.7,205.5,3.4
339.2,197.0,3.1
335.8,200.7,5.2
333.8,201.1,1.8
328.9,200.7,3.1
323.3,196.6,6.3
324.4,201.0,4.9
326.5,209.4,5.7
323.8,209.1,5.8
321.0,213.0,3.6
314.2,210.4,4.8
313.9,211.3,7.9
324.4,215.9,5.1
321.3,217.6,3.9
326.3,214.8,5.1
328.6,224.5,3.9
331.0,224.0,4.3
333.2,213.2,3.6
328.4,216.4,7.3
329.0,215.1,7.2
339.1,214.0,6.9
333.9,211.5,6.9
333.9,213.0,11.4
336.5,211.5,9.2
332.3,222.2,11.7
335.6,220.3,6.8
336.7,224.1,3.0
340.2,228.0,11.1
340.8,225.9,13.7
336.6,220.3,6.9
338.3,217.7,3.8
338.8,211.1,6.5
333.4,199.2,2.5
332.3,189.5,5.4
324.3,186.0,6.6
319.1,177.4,4.7
319.2,183.2,12.2
320.2,197.2,8.2
317.2,207.2,6.1
316.7,211.8,6.6
317.2,223.8,2.6
315.5,215.7,12.9
327.7,216.2,8.4
331.4,222.8,11.1
334.6,222.9,2.3
333.1,215.4,8.0
330.4,221.4,4.1
333.4,213.8,1.9
328.2,200.7,1.5
322.8,191.8,3.2
322.9,193.5,4.5
