Ants,Larva,Food
50.0,0.0,55.0
50.0,0.9,75.0
50.0,18.1,70.1
50.0,34.2,68.6
46.6,44.0,74.0
42.1,58.3,71.8
38.3,68.5,72.8
51.1,63.4,58.1
64.5,54.3,58.6
72.3,52.4,69.9
85.0,48.2,75.8
93.6,57.2,79.4
102.0,64.0,83.0
105.9,78.3,86.5
110.3,92.3,79.7
114.6,105.3,76.6
128.0,111.3,65.8
139.5,120.1,59.0
153.9,123.0,56.3
170.9,127.7,54.6
188.2,131.6,56.3
206.5,141.8,55.7
223.6,150.8,52.2
238.7,165.3,45.6
254.4,176.4,38.6
269.2,189.4,32.6
286.1,194.1,26.4
305.0,195.5,28.5
323.6,205.5,22.2
340.4,210.8,10.8
358.0,217.5,11.3
374.6,225.5,7.6
386.8,239.4,6.4
403.5,241.8,4.6
416.5,242.9,1.7
426.3,246.4,6.5
436.1,251.0,2.9
450.1,253.2,2.7
456.3,248.3,3.4
463.1,255.9,3.8
471.8,262.7,4.0
477.4,265.4,2.7
479.5,264.6,3.0
479.4,269.7,3.9
484.3,268.9,2.2
487.7,264.7,2.3
492.6,266.0,3.0
495.9,269.8,2.3
496.8,273.4,3.0
497.5,274.4,2.2
501.6,278.2,2.5
499.4,278.1,2.7
497.7,279.6,2.0
488.3,275.3,3.3
487.4,274.0,2.6
490.5,270.6,2.8
491.4,265.2,3.2
493.3,262.0,2.9
496.6,265.1,2.4
495.0,267.2,2.9
499.8,267.9,2.4
496.3,268.6,3.6
493.6,270.1,3.7
494.5,268.6,1.5
495.9,267.0,1.9
497.7,265.8,2.5
497.7,266.5,2.9
500.7,266.5,2.9
503.4,265.8,2.4
506.0,269.3,2.3
503.5,267.5,2.2
507.8,268.5,1.4
502.1,270.9,2.1
503.2,272.6,2.9
506.2,269.5,2.1
508.2,271.9,2.3
507.5,270.5,1.6
508.8,269.0,2.8
509.9,268.9,4.0
512.6,270.0,2.5
514.1,270.8,4.0
510.3,269.7,3.2
510.0,270.3,2.8
513.3,266.4,2.4
517.6,265.0,2.3
520.2,263.7,2.5
522.6,266.9,3.5
520.6,269.0,4.7
524.4,275.5,3.2
524.6,276.1,2.5
526.6,280.4,3.4
532.9,276.7,5.2
536.0,281.3,2.7
537.3,278.5,2.4
541.8,279.6,1.6
543.1,275.4,2.7
543.8,276.0,3.1
550.8,275.1,2.6
557.3,275.3,2.6
554.1,271.6,1.8
548.4,271.5,3.8
546.3,272.9,2.8
550.0,274.9,5.3
557.2,272.2,2.8
558.7,279.5,1.8
556.9,281.6,2.4
558.9,283.6,2.1
554.9,284.9,1.8
553.8,283.2,3.5
553.7,280.5,1.8
556.0,276.3,3.0
560.5,277.6,2.8
566.4,279.7,4.0
571.0,286.3,3.0
571.0,287.8,3.1
572.9,296.8,2.5
567.4,298.6,2.0
572.7,296.9,2.0
578.9,294.0,1.8
583.9,290.6,2.2
583.7,290.4,2.0
579.6,288.9,3.1
579.8,288.0,2.8
578.0,294.7,3.5
580.9,294.9,2.5
580.4,291.2,2.2
584.1,290.4,4.3
583.9,291.6,3.7
582.5,286.3,3.0
587.4,285.5,4.4
588.7,281.7,2.5
595.7,281.9,3.6
597.2,287.0,2.2
604.5,289.1,4.5
608.3,289.1,3.6
606.3,295.5,6.9
613.9,298.6,5.4
617.1,294.3,2.1
614.4,291.4,2.4
612.9,289.4,4.8
615.0,285.4,3.4
618.2,279.9,2.5
618.3,283.3,3.0
621.0,282.0,5.3
621.6,285.0,3.0
623.0,286.9,4.3
624.3,290.3,3.3
627.6,288.3,4.8
633.4,289.4,6.9
641.7,292.8,2.3
647.7,294.1,1.9
651.5,295.5,4.0
650.2,300.1,3.4
655.9,303.0,3.8
660.7,305.3,3.3
667.6,305.0,3.2
665.1,303.5,4.0
673.5,299.1,3.2
674.2,297.2,4.6
677.2,301.9,2.1
676.8,298.4,5.1
683.9,301.3,3.8
683.4,302.6,6.7
696.1,304.7,5.8
700.5,299.5,5.1
703.7,303.5,5.6
707.0,304.0,5.2
710.6,305.5,4.3
713.1,308.0,5.6
718.1,309.0,5.1
717.6,306.5,4.6
722.3,306.5,2.9
720.2,306.2,3.3
720.3,303.6,2.4
723.1,301.4,4.2
727.1,305.1,6.5
734.3,303.8,5.1
739.8,307.5,4.3
744.3,312.5,3.9
742.4,311.0,2.9
743.3,310.3,3.5
748.9,306.0,5.5
753.3,304.1,4.3
752.0,298.7,5.5
756.3,300.9,4.1
752.5,300.9,2.4
749.3,300.2,3.8
752.7,297.0,2.8
755.9,299.3,5.3
761.2,302.5,5.3
764.4,301.1,5.2
760.9,301.5,5.0
764.7,301.1,5.3
766.0,304.2,3.8
771.6,298.2,6.3
770.9,298.4,5.9
769.3,300.1,8.5
772.9,301.4,5.0
775.0,296.7,4.2
775.2,300.9,4.9
776.1,303.0,5.8
777.9,307.4,5.6
779.5,310.3,8.4
783.3,314.3,6.1
788.4,315.6,8.0
790.2,317.4,8.6
792.7,317.3,6.4
799.2,313.1,5.3
797.4,309.4,5.4
795.2,306.7,7.3
799.9,305.3,7.4
803.5,304.4,4.3
804.8,308.8,6.5
804.3,310.3,6.1
806.3,308.8,4.8
798.3,307.4,6.9
803.0,305.6,5.9
805.7,301.0,3.9
800.8,298.7,7.7
805.7,301.2,5.4
804.2,301.4,5.5
807.4,303.7,6.2
801.2,305.7,7.0
799.1,311.6,7.4
800.4,314.9,7.2
803.9,316.6,5.6
803.8,316.9,5.4
802.0,318.3,6.6
806.6,316.9,3.6
806.2,311.5,4.7
806.6,308.7,4.3
806.9,305.8,4.6
818.2,307.6,6.7
823.3,307.7,5.3
826.8,309.0,8.9
831.4,314.4,3.8
829.5,314.7,7.9
831.7,316.3,4.9
832.5,314.4,5.2
835.1,313.2,8.3
838.2,315.2,4.2
840.5,314.8,8.8
840.7,313.4,2.8
839.8,314.4,6.1
838.1,319.7,4.7
837.6,315.9,3.7
833.3,314.2,3.6
830.9,311.2,3.4
828.6,309.6,3.8
821.8,303.3,4.4
823.8,302.8,7.6
826.3,305.6,7.3
830.8,304.4,9.4
832.7,311.0,3.2
828.2,312.3,6.1
828.8,311.9,4.6
829.3,309.3,3.0
823.2,313.4,7.9
824.3,308.6,4.3
822.6,307.1,6.1
824.0,309.7,7.5
826.4,307.4,3.0
821.9,304.1,4.6
827.4,303.0,4.5
829.6,306.7,8.2
831.5,306.0,7.6
830.0,307.8,5.2
832.0,309.3,7.1
835.7,314.5,3.2
834.3,314.0,6.1
832.6,309.2,5.5
836.2,309.6,9.2
835.4,312.3,6.7
838.0,309.4,5.8
843.7,310.7,3.4
840.4,312.1,5.5
845.5,314.1,6.3
841.8,317.8,2.3
839.4,319.0,4.3
840.5,321.6,4.4
844.5,326.2,6.0
847.2,326.8,4.1
849.4,318.2,3.2
845.7,320.0,5.9
848.7,315.0,4.7
845.4,313.9,6.6
850.1,312.8,4.8
848.9,316.5,6.9
849.8,317.5,7.2
848.6,317.5,4.8
847.0,319.6,4.7
844.7,316.8,8.1
848.2,314.2,5.4
846.3,313.1,5.7
844.0,313.3,5.4
842.6,308.3,4.7
837.0,311.5,6.9
837.5,315.9,5.3
841.2,314.9,4.9
842.3,317.4,8.7
842.4,317.7,6.6
844.9,318.5,4.1
844.4,313.8,8.8
852.0,312.0,6.9
857.5,312.9,7.8
860.0,315.1,3.5
863.3,313.9,5.3
862.0,314.5,5.1
864.0,313.8,7.1
866.4,312.2,5.1
866.7,310.7,4.9
867.5,307.0,7.4
868.7,308.1,7.1
865.4,309.9,5.9
867.3,311.5,6.5
869.1,308.6,10.7
871.2,314.2,12.2
879.1,316.0,11.4
881.7,316.2,13.7
885.2,317.8,8.8
892.8,318.6,8.5
893.3,316.1,5.5
889.1,316.8,4.3
891.1,315.9,7.0
888.9,313.3,6.9
885.8,312.3,13.0
882.5,311.8,8.8
879.6,310.9,7.8
878.2,309.1,7.7
879.4,311.8,6.9
873.3,313.2,7.0
867.8,309.8,8.5
873.6,306.4,13.1
874.1,306.5,11.3
874.8,309.3,6.6
875.5,310.2,6.4
873.0,312.5,8.2
873.9,316.1,10.2
875.5,319.4,7.7
880.6,315.3,5.9
879.1,309.7,7.9
872.5,310.2,6.8
872.1,309.7,8.2
876.8,310.4,8.2
879.0,312.7,10.6
876.3,323.5,5.1
874.3,326.6,6.1
874.4,331.0,5.0
872.5,328.7,5.8
867.7,325.6,9.3
867.9,321.3,5.6
869.2,320.5,9.4
875.6,315.2,4.7
872.8,317.8,4.2
874.8,322.7,7.7
880.0,322.9,4.1
876.6,323.7,7.8
873.7,323.4,4.5
868.1,324.3,2.0
867.6,322.4,4.5
862.9,323.3,7.9
864.1,323.2,4.1
863.5,322.7,6.2
867.3,322.3,6.9
866.8,325.3,3.8
870.1,321.5,4.8
874.2,322.3,4.9
872.6,325.0,9.0
872.4,324.6,8.1
871.1,322.1,6.5
869.8,324.3,7.0
870.4,320.0,4.2
864.7,321.5,6.7
868.0,323.8,5.0
868.2,322.1,8.1
870.9,322.3,13.9
873.3,329.3,5.4
872.3,328.1,4.7
872.5,326.3,4.7
873.5,327.7,3.7
870.1,328.6,5.9
864.0,324.4,4.6
863.9,323.9,6.0
859.0,323.2,8.9
858.4,322.4,13.4
864.4,326.8,5.9
863.8,320.8,5.8
863.4,317.9,5.1
860.8,316.5,3.9
860.6,318.1,6.4
858.2,315.0,1.6
852.5,321.0,6.1
852.9,324.9,5.3
858.1,328.6,10.2
861.2,331.5,7.7
863.5,326.0,7.1
861.6,328.1,5.7
859.3,327.5,4.1
861.6,320.8,3.3
864.8,317.1,4.4
862.0,321.4,3.6
861.6,314.8,5.2
858.3,312.4,5.5
859.0,313.9,6.7
859.4,315.4,4.7
859.6,315.3,4.9
855.5,317.8,7.9
857.3,314.8,8.5
861.8,315.9,10.6
866.3,321.3,8.6
866.6,324.6,2.7
861.8,325.5,5.5
861.2,327.2,6.3
855.0,325.4,6.5
857.2,321.4,4.3
852.9,315.9,4.8
857.2,312.8,4.3
858.1,311.7,7.5
862.3,313.9,9.6
866.4,313.9,7.1
861.9,317.2,8.2
864.4,319.5,9.4
864.3,321.5,9.9
869.7,320.5,11.4
866.1,317.8,12.1
863.9,316.1,12.6
865.0,319.2,11.2
872.0,318.1,6.2
874.8,319.9,10.6
874.2,324.3,10.3
872.4,326.6,5.6
875.0,327.5,7.8
867.1,325.9,11.6
870.0,329.8,11.7
872.8,327.5,6.0
872.0,326.4,9.4
873.5,325.2,10.6
866.9,329.0,9.0
873.0,323.6,11.2
877.2,324.4,10.8
878.5,325.7,4.0
872.0,326.9,5.4
868.1,325.0,5.1
867.0,323.5,8.6
865.0,328.2,7.1
863.8,327.6,6.9
864.9,328.0,8.2
871.4,328.2,10.3
866.1,330.3,14.8
870.7,328.2,13.5
869.8,323.8,13.3
866.1,325.9,15.3
862.7,324.7,13.8
862.1,322.6,20.3
866.4,325.2,15.6
866.4,328.5,11.8
862.2,327.5,7.6
863.0,326.7,14.4
857.1,332.0,11.8
865.5,324.1,8.4
860.3,325.7,6.4
860.3,322.3,8.7
856.5,320.8,8.7
857.5,313.9,9.8
853.9,317.4,7.2
855.5,316.0,5.5
851.5,317.9,7.1
853.9,318.1,5.3
852.4,327.4,7.1
853.5,332.4,5.7
850.0,334.2,6.4
843.6,334.1,11.2
837.9,329.7,11.8
839.8,324.9,12.5
837.4,321.2,9.1
838.3,316.8,10.8
838.6,316.9,12.9
839.3,324.1,15.5
843.8,326.2,13.6
850.2,327.2,11.5
854.0,330.9,11.6
855.4,328.3,13.1
862.1,329.5,8.2
864.6,329.1,9.4
864.8,328.8,10.2
861.7,327.9,11.2
864.7,331.3,11.2
869.4,328.9,12.9
871.3,332.3,12.6
877.2,334.0,17.4
877.6,335.8,20.8
877.9,342.7,17.1
879.0,349.3,7.5
876.5,351.1,8.4
882.1,347.3,6.4
878.5,343.2,4.4
879.6,335.6,2.6
881.5,328.6,6.4
885.1,329.3,3.9
876.1,332.0,2.5
872.5,335.9,2.8
867.3,338.8,9.4
866.5,340.2,10.0
862.0,339.9,8.4
863.6,334.1,8.8
865.4,337.0,8.2
867.1,333.4,9.0
862.4,331.8,6.1
866.0,328.1,7.8
862.8,333.6,6.9
861.4,331.6,5.6
858.3,332.4,3.7
859.6,332.0,7.2
861.0,333.5,6.9
855.6,330.1,2.2
852.4,329.2,5.2
847.5,333.0,4.5
844.1,338.4,3.5
847.7,337.8,6.3
851.3,337.0,2.6
848.3,335.7,4.6
842.6,333.6,5.3
847.4,329.6,5.7
849.1,331.2,10.9
848.4,337.2,13.5
849.5,339.3,12.4
847.6,342.7,9.6
849.5,346.7,10.0
851.8,346.0,11.4
854.0,343.2,11.1
855.9,339.5,10.9
859.0,335.1,9.6
858.3,329.9,3.5
853.4,333.4,6.4
852.0,337.2,4.1
850.6,340.9,6.2
852.1,344.1,5.3
855.1,342.9,3.8
855.4,345.9,4.5
860.7,341.1,5.0
863.6,341.8,7.1
863.5,342.2,6.4
863.5,347.0,8.9
867.6,347.5,7.9
868.4,350.2,5.8
867.7,350.8,4.4
863.4,348.1,7.0
858.2,348.9,4.8
856.3,343.9,4.3
855.4,339.2,3.8
847.8,341.6,3.3
849.0,348.9,5.4
848.4,344.7,5.4
838.7,350.6,3.6
834.8,357.2,3.9
835.0,353.0,6.3
830.6,353.3,4.2
826.7,357.2,1.5
821.6,356.3,3.7
825.7,345.5,1.8
824.4,348.7,3.9
825.9,344.0,3.2
825.5,338.5,2.5
823.5,337.6,2.9
820.1,346.8,4.3
822.3,347.4,3.6
821.8,347.8,2.4
823.5,354.1,10.6
828.1,362.0,5.8
827.6,360.1,4.3
829.9,361.6,4.7
830.0,367.8,4.8
837.9,362.9,4.4
834.3,357.6,4.5
835.8,357.5,7.3
840.8,354.7,6.8
844.7,348.4,6.6
847.1,351.9,2.8
849.1,349.9,4.9
848.7,352.9,6.1
853.5,359.5,2.9
852.3,357.6,8.6
857.3,357.4,8.9
858.1,364.1,7.6
863.3,364.9,5.8
862.2,359.6,6.4
858.0,362.2,6.9
857.6,362.2,7.8
854.0,355.7,9.6
854.4,353.6,10.0
857.3,354.0,9.1
856.6,357.1,4.9
853.2,352.9,6.5
856.2,358.6,6.4
860.7,355.2,4.0
860.1,354.8,6.1
855.9,353.8,7.4
855.0,357.9,5.8
858.6,360.4,3.7
851.4,352.6,2.8
845.4,351.7,2.6
846.0,347.9,6.7
844.2,339.0,4.7
845.5,334.0,3.1
841.9,336.0,7.2
834.4,334.9,9.9
836.4,342.1,4.5
831.1,352.9,7.1
826.8,358.3,6.9
825.6,362.1,4.7
826.4,367.5,5.0
829.6,365.9,3.1
833.6,366.6,1.9
827.7,361.8,3.9
822.4,366.4,4.3
818.3,361.3,3.8
817.6,358.0,2.4
817.0,356.3,2.4
809.3,357.7,5.1
804.7,355.3,3.7
802.3,353.6,6.5
801.4,358.4,3.7
803.0,358.0,3.6
802.4,364.0,3.6
794.8,365.7,3.7
795.1,371.3,4.3
799.5,372.7,3.2
800.7,373.4,4.6
804.7,371.9,4.9
806.8,372.3,3.6
816.0,365.9,2.4
824.0,362.9,9.4
835.1,371.3,3.4
830.9,373.0,3.5
830.2,374.1,4.0
832.4,385.7,6.3
834.2,385.8,4.0
834.1,372.7,4.0
826.9,371.9,4.7
822.2,368.7,6.6
825.4,362.2,6.6
830.5,368.9,1.5
826.1,374.3,3.9
822.8,376.9,5.1
815.9,386.0,4.6
811.1,381.8,2.0
811.3,379.7,6.2
810.5,377.6,4.0
805.5,370.0,7.1
808.8,361.3,10.6
807.3,373.3,2.3
807.5,368.7,3.6
803.9,377.1,4.7
801.9,384.1,2.4
793.3,388.5,4.8
794.3,381.4,3.8
791.6,385.7,2.7
788.7,379.7,3.5
785.9,380.1,3.2
787.3,380.5,1.9
787.2,386.9,1.8
781.4,381.6,1.7
782.9,383.0,2.3
782.0,373.8,2.0
780.3,369.8,2.8
783.4,358.3,3.1
778.3,357.3,4.2
778.4,359.7,3.3
773.6,367.9,2.7
775.8,372.1,3.3
779.5,377.6,5.4
784.4,391.9,5.5
796.3,398.3,2.5
803.4,402.4,5.1
806.8,402.0,3.0
812.3,407.0,3.5
811.8,395.3,2.7
812.4,387.8,3.7
813.3,386.6,3.4
812.2,387.5,2.4
817.8,379.5,3.4
821.9,383.1,7.4
832.8,384.2,7.0
839.9,384.2,5.3
847.1,388.1,5.9
850.1,394.5,7.2
855.3,399.4,3.4
851.3,397.5,2.7
855.1,401.5,2.4
854.2,398.2,2.4
848.3,393.1,3.2
847.1,394.6,3.0
844.6,397.0,3.3
842.5,394.1,3.2
840.3,390.2,3.5
835.2,390.9,5.0
835.6,387.3,3.5
840.9,389.7,5.6
841.1,390.3,6.3
842.0,398.5,4.7
840.5,399.9,2.4
835.6,403.5,3.1
828.3,399.2,4.0
827.2,401.4,4.9
828.7,395.8,3.4
830.7,401.8,8.4
835.1,402.1,9.1
834.5,408.2,3.9
835.6,410.6,3.0
840.3,412.2,1.5
844.1,407.4,2.8
841.6,401.2,4.0
839.4,398.8,3.6
838.7,395.1,4.7
837.4,397.4,5.2
839.4,400.9,4.1
833.9,402.3,5.9
836.9,404.9,2.0
837.5,408.1,3.0
830.1,405.6,3.7
833.8,399.4,7.5
834.7,406.0,3.9
837.5,399.0,3.7
837.9,405.3,5.4
839.0,408.7,7.3
835.8,411.1,8.3
838.6,407.5,8.2
837.5,413.9,9.0
837.0,415.8,10.1
842.4,414.5,6.1
839.8,414.1,3.5
839.3,417.9,4.5
838.2,415.7,2.8
836.5,408.0,4.6
837.1,404.5,4.6
841.7,406.2,3.7
840.1,402.4,3.6
840.5,400.2,3.7
833.4,400.4,3.9
832.2,404.6,3.3
832.4,404.7,3.0
