Ants,Larva,Food
50.0,0.0,32.4
50.0,0.0,52.5
50.0,9.4,57.3
50.0,20.3,58.9
47.3,30.6,59.8
43.7,41.7,58.4
40.9,52.1,57.8
45.8,53.3,49.0
53.3,53.1,34.7
60.7,49.1,28.5
69.7,45.6,25.6
77.1,43.2,25.5
84.8,41.8,26.7
92.2,44.4,23.0
93.8,46.2,20.7
96.4,51.9,15.7
97.4,56.2,17.8
99.3,63.8,15.2
106.0,65.1,11.9
107.8,71.7,9.3
114.4,73.1,7.0
118.4,74.9,8.2
124.4,73.9,1.9
126.1,73.2,2.5
130.3,69.8,2.6
132.5,67.1,2.6
133.7,67.0,4.0
134.0,64.8,1.6
134.3,65.9,2.1
133.8,67.8,2.5
134.3,71.4,1.5
135.0,71.0,3.1
135.5,72.8,1.2
137.8,72.3,1.9
136.9,73.2,2.8
139.8,71.9,2.2
139.1,72.4,1.9
140.7,71.9,1.9
140.1,73.1,2.1
138.6,73.4,1.6
140.3,74.7,1.3
141.0,74.1,2.2
139.7,75.1,1.2
140.8,72.6,3.2
140.2,73.9,2.4
142.6,71.4,3.0
143.6,74.3,2.8
145.2,74.4,2.4
144.5,76.3,1.9
144.2,75.6,1.7
144.7,76.8,1.4
145.5,73.5,2.6
146.8,75.8,2.1
147.4,76.3,2.0
145.6,77.6,1.8
146.0,77.1,1.5
146.0,78.6,4.4
147.6,77.4,2.5
148.0,75.6,2.1
146.7,75.9,0.5
146.1,73.5,2.7
145.5,73.0,2.6
147.5,74.2,2.4
147.0,74.9,2.7
149.2,76.1,0.7
146.5,78.2,1.6
145.2,77.7,1.2
145.4,76.5,2.7
144.7,76.6,2.2
144.2,75.4,2.1
145.1,76.1,0.8
145.6,75.2,0.8
141.6,74.0,2.6
141.1,73.2,1.6
140.6,72.2,2.5
139.1,72.1,1.1
139.5,70.5,1.3
140.1,73.4,4.5
139.8,73.2,1.5
136.4,74.3,1.8
137.3,74.7,3.0
136.0,75.2,1.3
136.6,75.5,0.8
136.4,73.5,1.4
137.3,71.5,1.5
135.7,70.2,0.8
132.9,67.3,1.9
134.1,65.4,1.2
133.1,65.3,2.4
132.8,66.0,1.8
134.4,66.7,1.4
134.1,68.4,2.3
135.1,70.0,2.3
136.4,70.1,2.5
136.1,70.7,2.1
137.5,71.3,2.6
138.1,73.1,1.8
139.2,72.8,1.4
