,Ant,Larva,Food
1,50,0,37
2,50,0,57
3,50,8,64
4,50,21,68
5,49,29,76
6,46,40,77
7,45,52,69
8,49,57,68
9,58,53,51
10,61,53,51
11,69,48,44
12,80,43,40
13,91,44,44
14,97,43,44
15,97,50,30
16,102,53,22
17,104,60,37
18,116,63,28
19,119,70,25
20,125,84,7
21,133,93,4
22,137,97,3
23,137,97,1
24,134,86,1
25,141,66,1
26,141,57,1
27,146,56,2
28,139,57,4
29,139,67,5
30,135,83,3
31,134,88,2
32,135,86,2
33,136,73,1
34,138,70,0
35,137,61,3
36,146,59,2
37,144,56,2
38,137,67,2
39,137,69,0
40,136,73,4
41,130,78,1
42,132,83,5
43,135,81,1
44,134,74,0
45,130,68,0
46,135,61,0
47,135,57,0
48,139,68,3
49,142,68,0
50,140,74,7
51,140,87,0
52,141,86,1
53,141,84,2
54,148,81,4
55,148,80,1
56,154,75,2
57,151,80,5
58,158,87,1
59,160,93,0
60,164,95,1
61,162,89,0
62,160,89,0
63,162,82,1
64,162,81,0
65,169,84,0
66,165,86,0
67,168,82,0
68,155,83,5
69,149,86,0
70,148,76,0
71,143,72,2
72,142,72,0
73,137,71,0
74,135,62,0
75,131,67,8
76,129,71,1
77,129,70,1
78,131,65,3
79,132,64,0
80,131,64,2
81,138,63,1
82,135,64,1
83,136,74,0
84,138,75,5
85,142,80,1
86,136,79,0
87,138,81,7
88,150,78,0
89,138,77,0
90,136,67,1
91,144,67,8
92,141,64,2
93,143,63,1
94,139,66,3
95,135,73,5
96,135,84,1
97,134,86,0
98,136,81,0
99,137,81,3
100,142,79,1
101,139,70,0
102,135,67,2
103,126,68,1
104,131,64,0
105,127,58,0
106,128,57,0
107,130,60,4
108,130,61,4
109,130,64,0
110,130,75,0
111,134,71,2
112,135,70,0
113,140,68,1
114,137,68,4
115,139,65,3
116,144,69,4
117,150,66,0
118,146,70,1
119,140,73,0
120,139,77,1
121,144,76,2
122,148,78,2
123,152,78,0
124,148,80,2
125,150,74,0
126,136,73,3
127,139,73,2
128,140,70,1
129,143,70,0
130,139,73,0
131,133,73,0
132,132,66,0
133,129,62,3
134,132,59,0
135,133,54,1
136,136,56,0
137,132,65,9
138,137,68,3
139,137,74,1
140,135,75,0
141,136,81,2
142,141,82,1
143,148,78,2
144,140,79,3
