Ants,Larva,Food
50.0,0.0,35.5
50.0,0.0,53.4
50.0,12.6,54.0
50.0,23.2,55.6
46.5,34.1,55.3
42.9,45.7,53.6
38.8,54.3,53.8
48.4,52.0,43.1
55.3,49.5,35.5
63.8,46.6,31.0
72.9,43.5,27.3
79.3,42.2,29.0
86.7,41.7,26.1
90.7,45.8,26.3
93.8,48.9,20.4
97.7,52.0,19.2
100.3,58.7,15.5
103.3,63.7,15.7
108.0,65.3,12.5
111.3,67.4,10.9
112.5,70.9,10.0
118.2,69.9,8.3
123.4,70.2,5.9
126.7,70.0,4.0
130.3,69.9,3.3
133.8,71.6,2.8
136.6,70.5,4.0
137.8,71.2,1.6
140.8,70.4,3.5
142.1,71.1,3.0
143.2,70.9,1.2
143.1,72.6,3.2
145.3,73.6,2.1
144.9,74.6,3.2
146.9,76.7,1.8
146.9,76.8,3.2
149.3,76.7,2.7
149.1,76.7,0.8
148.5,77.0,3.9
148.3,74.6,1.6
147.1,74.0,0.6
146.2,72.3,0.7
147.2,70.6,2.2
148.5,72.7,3.3
148.4,73.2,1.7
149.5,73.9,1.2
148.2,74.5,2.1
149.3,75.4,2.5
149.0,71.4,1.8
147.3,72.4,1.3
148.5,72.5,2.3
147.0,73.2,1.2
144.2,72.4,2.2
143.3,75.0,2.3
144.9,74.2,1.0
144.5,75.4,1.3
143.5,75.5,1.8
143.6,76.2,1.6
143.8,76.3,1.5
143.4,73.1,2.0
145.5,72.2,1.4
147.5,72.6,0.4
146.4,70.5,2.5
147.6,67.1,1.2
147.7,68.2,4.5
148.9,70.0,6.1
149.3,73.1,2.5
146.9,76.0,3.4
148.4,78.9,2.7
148.3,81.8,1.9
149.2,78.9,1.9
148.1,74.7,1.2
147.4,71.9,1.3
149.2,70.7,1.0
148.9,68.8,1.6
149.0,70.0,3.0
150.3,71.9,2.2
148.8,73.3,1.2
147.3,74.6,1.9
147.7,75.5,3.4
145.6,76.4,2.7
147.2,74.7,2.1
149.4,74.1,2.3
150.5,72.1,1.4
149.6,69.6,2.7
148.0,66.8,2.9
149.3,66.8,2.6
150.8,69.1,2.2
150.1,71.0,2.2
150.0,71.3,1.7
149.1,73.9,2.9
149.7,75.0,1.8
151.7,71.4,1.7
152.9,71.0,2.4
152.9,74.1,3.4
156.8,73.0,2.1
158.0,72.2,2.1
158.5,75.3,4.0
158.9,75.1,2.9
159.0,75.9,4.0
159.1,77.1,2.7
157.6,73.7,1.6
158.2,73.1,1.3
158.9,73.3,2.2
160.1,75.4,1.5
161.5,75.2,1.7
159.1,77.7,1.0
156.7,78.9,2.6
157.1,77.8,1.9
156.9,75.0,1.3
154.8,74.8,3.6
157.4,75.9,1.3
159.1,75.1,3.1
158.5,77.3,4.4
161.1,78.3,2.4
161.1,79.7,2.3
161.3,78.6,2.3
160.8,80.0,2.6
161.8,78.6,2.4
162.9,75.8,2.6
164.1,73.7,3.3
163.6,72.0,2.3
165.1,70.9,3.2
165.9,71.7,3.1
166.3,73.6,7.2
167.1,77.5,3.6
166.7,80.9,2.7
168.2,81.4,1.8
168.5,83.5,1.9
169.5,82.8,1.9
172.9,79.8,2.1
173.1,77.5,1.7
173.4,77.5,2.2
173.5,74.7,1.2
172.8,73.8,2.0
172.7,74.2,5.5
171.9,76.7,4.3
172.9,77.6,3.0
173.2,77.9,3.2
173.0,81.0,3.6
173.7,83.8,3.6
178.5,85.2,3.5
178.9,86.6,2.2
180.0,86.4,1.7
181.2,86.7,1.9
178.6,82.8,2.3
180.7,83.2,3.1
180.5,82.5,1.4
180.0,83.2,3.6
182.9,84.0,5.5
184.1,88.6,6.0
186.5,86.3,2.2
187.5,82.8,2.5
186.1,83.5,4.3
186.5,84.0,3.5
191.4,82.7,5.6
191.7,85.3,1.9
189.4,89.0,3.8
192.0,89.7,3.6
191.9,87.7,3.6
193.7,89.1,3.5
196.0,85.8,2.9
194.7,82.6,4.8
197.5,82.6,7.9
199.4,85.8,8.3
201.9,84.9,6.2
202.4,86.0,6.2
201.3,88.4,8.3
202.8,93.2,9.6
204.6,91.4,6.0
204.9,91.6,4.1
204.4,91.1,2.3
203.6,90.1,2.0
207.6,85.7,2.1
206.1,85.1,4.4
207.4,86.2,4.5
206.6,88.3,6.3
205.6,88.4,5.8
205.7,89.0,3.9
206.1,91.4,1.6
211.2,89.2,1.5
212.7,86.9,3.5
213.2,91.4,5.0
212.4,90.9,6.5
214.1,91.2,5.7
215.7,95.2,6.5
215.6,99.2,6.8
217.3,98.4,3.3
219.0,99.3,4.8
219.4,98.7,3.1
220.8,93.6,2.2
219.7,90.8,3.3
221.3,87.7,3.1
222.6,86.1,4.8
222.1,86.5,2.9
220.2,90.5,5.9
219.5,92.7,4.0
219.3,91.8,3.5
218.4,94.5,3.3
219.8,93.9,4.9
222.7,92.8,4.4
225.5,95.2,4.4
224.4,98.0,4.7
223.8,99.8,4.9
222.7,101.4,5.9
