,Ant,Larva,Food
1,50,0,47
2,50,0,61
3,50,13,64
4,50,27,59
5,48,37,64
6,47,49,62
7,40,64,52
8,50,67,31
9,59,61,18
10,69,57,7
11,80,53,6
12,88,48,9
13,99,38,1
14,102,46,4
15,106,50,0
16,109,50,3
17,104,53,8
18,105,60,10
19,105,63,0
20,108,64,1
21,107,67,1
22,111,65,5
23,114,62,0
24,123,58,1
25,125,54,3
26,130,55,3
27,132,57,8
28,137,62,5
29,138,62,2
30,137,64,7
31,144,70,1
32,139,73,13
33,143,75,10
34,145,80,0
35,144,85,2
36,141,80,0
37,139,77,1
38,137,75,0
39,137,71,1
40,139,61,1
41,134,59,0
42,130,67,0
43,137,62,2
44,139,67,1
45,136,70,1
46,133,73,1
47,135,67,4
48,134,69,4
49,133,62,1
50,133,63,0
51,135,62,5
52,133,59,2
53,126,51,3
54,126,58,0
55,127,50,0
56,127,52,0
57,117,58,2
58,118,66,3
59,122,68,0
60,120,72,3
61,122,76,0
62,128,73,0
63,125,63,1
64,128,59,1
65,127,63,4
66,125,63,0
67,122,68,0
68,111,71,1
69,116,72,2
70,118,72,0
71,119,63,3
72,118,54,1
73,117,55,2
74,122,52,1
75,122,47,0
76,121,54,1
77,125,55,9
78,131,61,4
79,128,65,4
80,126,74,1
81,124,78,2
82,130,77,2
83,138,71,0
84,140,63,3
85,144,59,0
86,141,60,1
87,146,57,1
88,153,65,0
89,150,79,4
90,153,79,0
91,151,78,2
92,150,79,1
93,154,75,0
94,159,66,0
95,158,67,0
96,167,70,3
97,168,68,0
98,170,76,8
99,169,85,4
100,161,86,2
101,155,88,0
102,152,87,1
103,153,81,0
104,151,70,3
105,152,70,1
106,155,72,0
107,161,64,2
108,162,69,0
109,160,75,5
110,156,70,1
111,159,69,1
112,160,79,1
113,166,77,1
114,164,77,7
115,161,77,3
116,157,75,2
117,161,69,0
118,160,67,3
119,170,68,6
120,173,72,1
121,170,77,6
122,168,81,4
123,172,83,1
124,169,90,0
125,176,81,5
126,170,80,5
127,181,82,7
128,181,84,2
129,181,84,4
130,186,89,5
131,183,86,1
132,184,83,0
133,180,76,7
134,185,74,2
135,193,78,1
136,184,82,7
137,179,90,4
138,181,92,4
139,187,95,1
140,182,89,1
141,175,94,0
142,180,84,1
143,179,88,0
144,182,84,0
145,176,77,2
146,172,73,2
147,177,81,6
148,174,75,2
149,177,77,6
150,176,81,11
151,180,84,13
152,184,85,0
153,182,83,0
154,172,77,1
155,163,75,0
156,162,75,0
157,162,62,4
158,163,65,13
159,170,75,1
160,169,77,3
161,171,77,0
162,170,82,0
163,169,84,0
164,176,73,0
165,174,71,3
166,169,64,1
167,164,64,0
168,160,61,0
169,159,63,13
170,160,70,4
171,155,73,0
172,153,74,1
173,149,74,2
174,141,74,0
175,148,69,8
176,143,65,3
177,144,63,0
178,151,63,11
179,160,73,6
180,154,76,1
181,155,71,0
182,154,84,4
183,159,93,3
184,164,80,4
185,168,79,0
186,167,89,14
187,181,86,4
188,181,93,1
189,178,91,4
190,178,100,1
191,176,88,2
192,177,80,2
193,184,67,1
194,179,70,5
195,182,64,2
196,181,71,6
197,176,78,0
198,174,74,2
199,175,71,5
200,176,76,5
201,182,71,8
