,Ant,Larva,Food
1,50,0,34
2,50,0,50
3,50,10,55
4,50,21,50
5,45,39,41
6,40,54,32
7,37,57,40
8,44,60,32
9,54,54,22
10,67,42,9
11,80,33,6
12,82,38,18
13,91,30,28
14,91,42,18
15,91,53,13
16,94,61,3
17,95,67,0
18,92,74,1
19,102,69,0
20,105,60,0
21,107,61,2
22,110,60,4
23,117,61,6
24,122,70,3
25,126,78,0
26,120,71,2
27,114,73,1
28,114,68,0
29,115,59,0
30,120,47,0
31,121,50,2
32,127,50,10
33,131,62,5
34,130,70,3
35,126,76,2
36,125,78,0
37,122,76,2
38,132,68,2
39,133,58,1
40,134,59,0
41,134,62,3
42,135,67,3
43,134,74,1
44,129,79,1
45,133,77,1
46,142,73,2
47,144,72,2
48,145,64,0
49,139,66,2
50,140,70,0
51,141,72,1
52,137,72,7
53,141,81,1
54,146,77,7
55,147,82,0
56,152,80,1
57,158,80,2
58,160,84,4
59,161,86,9
60,164,87,0
61,163,91,1
62,164,86,1
63,168,81,2
64,166,79,0
65,173,75,0
66,178,77,1
67,178,78,3
68,180,78,0
69,168,79,1
70,173,82,9
71,174,85,1
72,172,88,2
73,175,97,2
74,171,102,4
75,174,108,1
76,172,105,2
77,174,96,1
78,181,83,3
79,173,77,0
80,169,75,2
81,166,75,1
82,157,81,1
83,159,88,4
84,159,95,3
85,160,103,1
86,155,102,0
87,148,92,1
88,150,83,0
89,151,79,2
90,156,63,0
91,159,59,1
92,150,68,6
93,153,72,1
94,155,77,2
95,145,79,0
96,145,79,1
97,139,79,2
98,143,73,0
99,143,59,1
100,144,66,10
101,150,74,2
102,151,71,1
103,151,77,8
104,155,95,3
105,152,94,0
106,148,81,0
107,147,88,11
108,149,86,0
109,153,78,2
110,150,75,1
111,146,82,2
112,143,80,5
113,147,73,1
114,153,70,0
115,145,71,6
116,148,78,1
117,146,71,1
118,149,74,0
119,150,70,5
120,145,71,0
121,141,61,1
122,140,69,6
123,146,72,1
124,138,75,1
125,137,83,1
126,134,83,0
127,133,79,1
128,128,74,1
129,127,62,1
130,132,52,0
131,134,57,1
132,131,57,1
133,126,61,3
134,122,71,2
135,127,71,0
136,129,67,2
137,131,65,0
138,128,65,1
139,124,56,0
140,120,59,3
141,121,59,2
142,127,58,5
143,129,61,2
144,129,62,10
145,128,64,0
146,129,61,2
147,131,68,3
148,127,62,0
149,125,67,0
150,129,62,7
151,135,72,0
152,133,66,3
153,134,69,3
154,137,67,1
155,137,75,13
156,141,75,1
157,138,76,4
158,141,83,12
159,145,86,0
160,146,81,1
161,145,76,1
162,146,77,8
163,144,74,5
164,145,69,1
165,145,71,4
166,140,78,2
167,142,74,3
168,146,73,1
169,150,75,2
170,153,74,0
171,154,67,2
172,154,71,4
173,162,83,0
174,162,80,0
175,165,75,0
176,151,76,4
177,158,80,3
178,152,67,0
179,153,72,4
180,152,75,14
181,149,83,2
182,150,79,2
183,148,78,0
184,153,75,0
185,160,75,1
186,160,64,0
187,159,67,2
188,165,69,3
189,154,79,0
190,152,81,1
191,144,79,2
192,145,85,2
193,147,88,1
194,161,83,1
195,164,77,0
196,162,88,2
197,166,85,3
198,170,78,3
199,169,89,0
200,162,95,0
201,163,87,0
202,159,81,1
