,Ant,Larva,Food
1,50,0,38
2,50,0,53
3,50,17,51
4,50,21,57
5,49,37,53
6,47,51,52
7,42,56,58
8,54,54,42
9,56,57,36
10,67,54,22
11,80,47,12
12,75,47,13
13,87,47,2
14,92,46,8
15,94,46,0
16,93,47,8
17,99,53,17
18,104,63,1
19,104,65,4
20,104,61,0
21,106,66,3
22,113,66,5
23,128,58,1
24,130,59,4
25,126,69,3
26,128,74,2
27,129,78,3
28,127,80,4
29,129,86,5
30,136,81,0
31,131,70,3
32,139,70,0
33,143,68,4
34,146,54,2
35,146,57,1
36,141,68,2
37,152,67,5
38,155,72,1
39,146,78,5
40,142,82,2
41,146,78,1
42,144,80,0
43,150,71,4
44,155,80,2
45,159,72,1
46,160,72,0
47,163,70,0
48,161,80,0
49,158,68,2
50,156,77,1
51,156,73,0
52,150,80,1
53,150,79,0
54,146,78,4
55,154,85,0
56,158,86,0
57,157,84,1
58,155,87,0
59,151,93,0
60,146,81,2
61,145,80,2
62,143,82,0
63,141,73,9
64,152,69,4
65,148,77,10
66,153,78,3
67,157,81,1
68,159,85,1
69,164,88,1
70,168,87,7
71,175,78,2
72,181,77,1
73,185,76,0
74,187,71,3
75,191,80,5
76,196,87,8
77,205,94,0
78,204,99,0
79,202,99,1
80,198,100,2
81,194,96,7
82,200,91,3
83,193,95,2
84,195,97,0
85,187,93,1
86,185,89,1
87,187,90,0
88,186,86,1
89,185,88,0
90,183,81,3
91,184,84,2
92,186,84,3
93,188,85,0
94,198,85,2
95,187,93,1
96,192,95,1
97,188,93,1
98,184,90,0
99,191,84,0
100,189,86,0
101,195,75,0
102,188,74,7
103,187,82,2
104,183,82,0
105,188,86,0
106,183,99,5
107,184,99,0
108,184,90,7
109,186,95,5
110,188,97,0
111,188,92,4
112,188,92,2
113,185,95,2
114,181,99,1
115,184,88,2
116,182,91,0
117,183,89,0
118,180,95,2
119,184,84,9
120,188,95,0
121,185,93,3
122,188,95,0
123,195,88,0
124,188,90,4
125,183,83,0
126,183,82,2
127,187,80,4
128,189,87,2
