Ants,Larva,Food
50.0,0.0,13.8
50.0,0.0,35.6
50.0,2.0,49.0
50.0,11.7,51.0
46.8,21.8,51.6
42.7,29.5,54.1
40.6,40.8,51.8
38.7,48.6,51.5
44.4,47.2,45.6
51.7,46.3,45.3
58.1,44.2,52.3
67.1,41.3,57.5
75.0,45.6,61.7
81.3,50.3,68.1
87.4,57.3,61.6
90.5,69.6,59.2
94.9,81.4,54.0
103.2,90.7,46.9
111.2,99.2,48.5
122.4,106.1,49.2
137.9,112.0,47.4
149.8,118.3,47.6
166.0,123.7,37.9
181.1,136.0,34.2
194.2,145.8,35.8
207.9,153.0,30.1
221.8,163.5,25.8
238.0,172.4,24.6
257.5,177.0,23.4
276.4,186.5,21.1
294.7,197.5,20.6
316.0,209.5,12.4
334.3,217.5,13.8
352.3,228.4,11.3
369.3,239.7,9.9
387.0,246.8,7.9
401.2,247.2,7.7
415.5,254.3,7.8
429.8,261.9,3.6
444.4,263.5,3.3
456.3,268.8,4.9
465.3,277.8,3.0
476.6,282.1,4.2
485.0,286.0,3.7
493.4,289.4,3.8
505.1,290.0,3.8
513.8,292.0,3.4
520.7,293.2,3.0
530.8,294.3,3.9
538.8,291.3,3.4
544.3,292.1,2.0
550.0,294.0,3.8
557.0,295.9,3.1
558.8,297.8,2.6
557.0,300.0,3.0
558.9,302.8,3.5
566.6,301.2,2.2
567.9,297.7,3.3
567.8,300.9,2.2
571.1,301.3,2.5
569.4,299.7,3.3
575.2,300.4,2.0
575.4,303.1,2.9
584.1,300.7,2.7
583.0,300.9,2.3
585.3,298.9,3.6
583.7,298.9,2.2
582.7,294.1,1.7
583.7,292.0,2.6
587.9,290.3,2.7
593.7,289.5,4.8
594.3,288.0,1.9
588.8,293.1,1.6
587.0,294.2,3.3
585.6,292.7,2.1
586.7,293.2,3.0
587.4,292.2,4.1
585.3,290.7,3.3
587.8,286.3,2.3
587.8,286.8,2.2
589.2,283.4,3.8
586.4,282.9,2.6
588.6,278.8,2.9
589.3,280.0,3.4
593.0,282.6,1.7
589.2,282.4,2.6
585.4,280.6,2.6
583.8,280.8,1.3
583.3,278.4,2.6
580.4,278.6,2.7
576.3,275.1,3.4
577.8,271.6,0.7
574.0,271.7,3.7
567.1,268.6,2.0
562.2,261.7,3.2
556.0,262.4,2.6
559.8,258.0,2.9
561.3,257.4,3.1
560.8,255.1,2.8
560.1,259.2,3.5
553.1,257.1,3.4
552.2,263.3,3.4
555.1,261.7,3.1
553.8,261.6,4.2
557.4,262.2,3.3
556.2,263.5,5.5
556.6,260.0,2.9
557.5,261.4,4.7
560.3,261.3,4.6
561.3,263.4,2.6
565.0,262.1,2.6
568.3,263.8,4.6
568.9,262.6,2.4
568.3,259.8,3.2
569.7,254.6,2.5
568.2,251.9,3.3
572.8,249.3,2.1
576.2,249.8,5.1
577.0,255.5,2.5
575.0,255.9,2.7
576.4,253.6,3.1
578.2,255.7,4.0
579.5,257.0,2.1
584.3,251.3,3.0
582.4,250.6,4.1
580.5,257.0,2.1
587.1,255.2,4.4
590.2,253.1,3.4
589.1,261.4,3.7
588.8,264.9,4.2
590.9,261.4,2.7
594.7,261.9,3.3
596.0,264.7,4.5
594.7,260.0,5.1
597.8,254.9,2.6
595.9,256.3,4.4
598.5,256.2,2.0
592.4,256.0,2.8
595.1,251.9,5.0
596.8,257.1,5.4
596.1,257.0,4.5
598.9,254.0,5.7
603.9,251.5,3.6
602.5,252.8,5.5
610.7,249.6,4.4
611.9,250.8,4.1
609.0,252.4,5.8
615.7,257.5,7.1
619.5,257.7,4.4
621.2,259.0,5.2
623.7,258.4,6.3
622.5,258.9,4.3
623.2,255.0,3.5
625.2,256.0,5.5
625.6,256.4,5.0
626.2,254.5,7.3
631.6,253.6,8.0
628.7,254.5,5.3
630.7,259.1,5.4
640.6,258.5,6.5
640.8,258.0,8.6
638.8,259.3,10.5
640.9,260.0,7.3
648.5,254.0,8.4
650.4,254.2,7.7
651.2,258.5,6.6
651.3,255.8,7.6
656.2,256.2,7.8
659.3,259.8,7.1
661.9,260.2,6.1
660.7,258.7,2.5
656.9,261.4,5.2
658.1,260.6,2.7
656.6,259.3,2.7
661.8,256.2,8.2
665.8,251.7,7.3
669.9,250.2,5.2
665.6,249.1,5.9
668.4,250.2,6.3
668.0,251.0,5.2
671.3,249.1,9.4
672.9,253.5,6.5
673.5,253.0,4.3
676.5,248.8,6.0
682.8,250.5,7.2
683.4,258.7,4.1
687.2,257.3,4.7
