,Ant,Larva,Food
1,50,0,32
2,50,0,50
3,50,8,54
4,50,22,51
5,45,29,58
6,40,39,59
7,35,45,61
8,36,47,58
9,51,42,41
10,54,40,65
11,61,39,69
12,67,41,77
13,71,52,73
14,79,57,80
15,83,68,83
16,88,74,84
17,94,90,63
18,103,91,55
19,113,97,57
20,123,103,60
21,136,116,63
22,153,114,59
23,166,119,56
24,183,129,55
25,195,152,53
26,216,151,45
27,229,169,51
28,246,179,48
29,264,190,54
30,302,202,22
31,322,210,34
32,344,233,11
33,365,239,9
34,388,253,16
35,417,254,7
36,440,276,1
37,459,272,4
38,465,284,4
39,484,286,1
40,500,299,4
41,514,305,7
42,528,322,3
43,530,327,4
44,546,345,2
45,553,340,2
46,565,341,2
47,574,338,1
48,583,332,0
49,598,330,8
50,599,328,0
51,601,314,4
52,612,314,1
53,627,311,1
54,627,315,0
55,625,304,1
56,610,323,5
57,625,320,1
58,627,326,2
59,617,323,6
60,620,333,7
61,609,312,1
62,629,312,4
63,629,303,5
64,654,299,3
65,661,302,5
66,669,311,16
67,675,317,1
68,674,319,0
69,670,321,0
70,690,310,1
71,686,305,16
72,704,299,3
73,692,298,1
74,703,306,2
75,712,310,0
76,716,318,7
77,709,317,11
78,715,326,1
79,717,322,1
80,718,320,0
81,708,315,5
82,700,322,1
83,700,301,2
84,701,296,3
85,699,287,1
86,693,294,1
87,678,276,4
88,675,296,2
89,666,291,4
90,672,294,0
91,651,287,3
92,661,292,1
93,669,297,2
94,664,297,4
95,653,294,1
96,649,296,0
97,651,298,2
98,659,282,1
99,658,276,2
100,649,270,6
101,636,268,5
102,642,265,0
103,648,268,4
104,655,273,5
105,660,288,7
106,671,290,5
107,659,291,10
108,656,299,3
109,652,295,2
110,668,291,5
111,668,290,0
112,679,293,5
113,678,295,0
114,683,305,6
115,683,311,3
116,692,309,10
117,704,325,3
118,717,325,9
119,722,328,5
120,749,326,6
121,750,322,3
122,755,311,1
123,771,301,8
124,759,293,6
125,765,293,0
126,754,287,4
127,759,294,11
128,772,303,10
129,781,317,7
130,778,316,9
131,757,323,3
132,788,307,1
133,785,308,6
134,805,306,3
135,812,301,0
136,792,304,3
137,790,304,4
138,797,302,1
139,800,279,12
140,805,289,12
141,793,289,3
142,783,289,12
143,783,288,3
144,783,284,5
145,785,270,0
146,776,263,12
147,781,247,21
148,793,237,22
149,803,247,21
150,815,254,27
151,832,259,22
152,814,281,0
153,809,274,14
154,814,275,15
155,824,271,15
156,831,269,25
157,865,259,23
158,859,293,10
159,868,290,13
160,879,289,35
161,883,285,45
162,891,290,58
163,917,279,29
164,931,286,25
165,935,288,42
166,924,310,23
167,932,312,6
168,927,299,21
169,940,301,10
170,944,308,16
171,948,289,0
172,943,288,5
173,933,293,6
174,931,274,2
175,916,263,12
176,909,253,36
177,922,256,11
178,920,251,11
179,921,263,22
180,928,269,23
181,928,284,36
182,941,277,4
183,937,280,16
184,945,281,6
185,949,286,32
186,956,295,14
187,949,315,4
188,943,304,10
189,933,299,1
190,932,293,4
191,928,281,3
192,933,255,3
193,912,273,7
194,905,269,9
195,910,277,2
196,892,288,0
197,903,300,13
198,904,301,0
199,896,304,8
200,898,306,2
201,900,293,14
202,899,304,3
203,890,282,3
204,879,282,19
205,892,283,3
206,873,282,4
207,873,255,2
208,864,271,18
209,862,274,7
210,861,263,3
211,859,275,17
212,857,287,22
213,871,285,17
214,871,275,1
215,877,280,1
216,863,274,5
217,863,273,2
218,851,265,14
219,849,285,25
220,861,285,22
221,878,296,27
222,878,310,12
223,875,312,9
224,875,284,5
225,867,283,4
226,870,273,6
227,867,259,5
228,853,259,9
229,838,291,9
230,837,303,1
231,834,306,7
232,824,302,21
233,825,312,2
234,824,297,14
235,851,284,15
236,861,284,3
237,851,300,1
238,835,281,9
239,837,274,2
240,829,267,4
241,818,260,5
242,831,241,2
243,826,257,5
244,827,264,23
245,828,272,12
246,839,283,24
247,841,292,33
248,847,295,27
249,866,310,10
250,877,316,3
251,881,311,1
252,891,305,3
253,881,294,15
254,895,290,7
255,912,291,0
256,904,282,4
257,913,282,21
258,927,289,24
259,950,290,30
260,956,295,2
261,943,303,3
262,932,299,6
263,926,307,5
264,929,290,13
265,930,278,13
266,925,268,6
267,913,279,11
268,924,260,16
269,922,269,39
270,915,282,5
271,906,279,1
272,905,278,6
273,907,279,26
274,902,275,27
275,912,262,25
276,927,271,25
277,938,267,54
278,934,271,77
279,935,280,89
280,931,292,81
281,934,277,111
282,937,276,134
283,946,273,131
284,943,279,112
285,960,275,100
286,934,293,90
287,921,302,96
288,926,311,102
289,943,302,90
290,950,302,83
291,960,295,90
